asset,K,scale_share,raw_volatility_ARI,shape_bootstrap_ARI,shape_refit_median_ARI
QQQ,3,0.9752539142607346,0.9392469678560199,0.6829788129421479,0.8071084175445515
TLT,2,0.967585911644094,1.0,0.2538662736145277,0.8803389464204628
GLD,4,0.9563134248615129,0.7273834602536888,0.6398753460006829,0.7166302883164267
HYG,4,0.9527047157671883,0.0,0.5728579316160822,0.6407982725526152
